course_id,learning_path_id
100,110
100,104
100,112
101,100
101,109
102,107
103,109
103,106
104,110
105,105
105,102
105,112
106,104
106,107
106,102
107,114
107,109
107,100
108,114
108,110
109,108
109,106
110,113
111,104
111,100
112,107
112,111
112,101
112,102
113,113
113,100
113,110
114,105
114,110
114,111
114,108
115,112
116,104
116,108
117,101
118,112
118,108
118,102
119,110
120,111
120,100
120,102
120,103
121,100
121,111
121,106
122,112
122,111
122,105
122,103
123,100
123,112
123,107
123,109
124,107
124,102
124,110
125,104
125,112
126,109
127,113
127,110
128,104
128,103
129,108
129,106
130,110
130,112
131,111
131,107
131,103
131,114
132,100
132,101
132,112
133,107
134,102
134,105
134,101
134,106
135,108
135,104
136,101
136,114
137,101
137,114
137,112
137,102
138,113
138,103
138,106
139,103
139,100
139,104
139,105
140,112
140,111
140,105
140,110
141,106
141,109
141,110
142,106
142,105
142,108
143,105
143,100
143,107
143,106
144,113
144,102
144,109
144,114
145,113
145,104
146,114
146,104
146,106
146,105
147,101
148,101
149,108
149,106
150,112
151,104
151,106
152,105
153,101
153,110
153,109
154,103
154,108
154,112
154,102
155,100
155,112
155,111
156,113
156,100
157,101
157,114
157,104
157,106
158,111
158,112
158,108
159,101
159,109
160,101
160,107
160,111
160,110
161,108
161,105
161,112
161,103
162,112
162,107
163,113
163,109
163,105
164,107
165,110
166,110
167,111
167,103
167,114
167,100
168,101
169,103
169,108
169,112
169,102
170,106
170,100
170,101
171,109
171,112
172,104
173,100
173,109
173,102
173,104
174,105
174,102
174,106
175,105
175,106
175,109
176,114
176,101
177,113
177,111
177,104
177,114
178,105
178,109
179,110
179,102
179,108
180,109
180,108
180,111
181,106
181,113
181,112
181,103
182,104
182,107
183,111
183,110
183,100
184,106
184,101
185,107
185,100
185,114
185,104
186,104
187,100
188,109
188,102
188,103
189,108
189,101
189,104
190,103
191,104
191,103
191,109
192,108
192,101
192,109
193,102
193,107
193,112
194,106
195,108
195,100
195,112
195,114
196,101
196,105
196,107
197,109
197,107
198,105
198,114
199,104
199,102
199,101
199,111
